1: False, sum : 0
2: True, sum : 2
3: True, sum : 5
4: False, sum : 5
5: True, sum : 10
6: True, sum : 16
7: False, sum : 16
8: True, sum : 24
9: False, sum : 24
10: True, sum : 34
11: False, sum : 34
12: True, sum : 46
13: True, sum : 59
14: False, sum : 59
15: False, sum : 59
16: False, sum : 59
17: True, sum : 76
18: True, sum : 94
19: True, sum : 113
20: False, sum : 113
21: False, sum : 113
22: False, sum : 113
23: False, sum : 113
24: True, sum : 137
25: True, sum : 162
26: True, sum : 188
27: True, sum : 215
28: False, sum : 215
29: False, sum : 215
30: False, sum : 215
31: False, sum : 215
32: False, sum : 215
33: False, sum : 215
34: False, sum : 215
35: True, sum : 250
36: True, sum : 286
37: False, sum : 286
38: False, sum : 286
39: True, sum : 325
40: False, sum : 325
41: False, sum : 325
42: False, sum : 325
43: True, sum : 368
44: True, sum : 412
45: True, sum : 457
46: False, sum : 457
47: False, sum : 457
48: True, sum : 505
49: False, sum : 505
50: True, sum : 555
51: False, sum : 555
52: True, sum : 607
53: False, sum : 607
54: False, sum : 607
55: True, sum : 662
56: False, sum : 662
57: False, sum : 662
58: True, sum : 720
59: False, sum : 720
60: True, sum : 780
61: False, sum : 780
62: True, sum : 842
63: True, sum : 905
64: True, sum : 969
65: True, sum : 1034
66: True, sum : 1100
67: True, sum : 1167
68: False, sum : 1167
69: True, sum : 1236
70: False, sum : 1236
71: True, sum : 1307
72: False, sum : 1307
73: True, sum : 1380
74: True, sum : 1454
75: False, sum : 1454
76: False, sum : 1454
77: True, sum : 1531
78: True, sum : 1609
79: False, sum : 1609
80: False, sum : 1609
81: False, sum : 1609
82: False, sum : 1609
83: False, sum : 1609
84: False, sum : 1609
85: False, sum : 1609
86: True, sum : 1695
87: True, sum : 1782
88: False, sum : 1782
89: False, sum : 1782
90: False, sum : 1782
91: True, sum : 1873
92: True, sum : 1965
93: True, sum : 2058
94: False, sum : 2058
95: False, sum : 2058
96: True, sum : 2154
97: True, sum : 2251
98: True, sum : 2349
99: False, sum : 2349
100: True, sum : 2449
